@relation 'TRE ANNI IMMATRICOLATI 2010-2013 PER STUDENTI-weka.filters.unsupervised.attribute.Remove-R6-45-weka.filters.unsupervised.attribute.Normalize-S100.0-T0.0-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst'

@attribute coorte {2010,2011,2012,2013}
@attribute test numeric
@attribute crediti_totali numeric
@attribute crediti_con_voto numeric
@attribute voto_medio numeric

@data
2013,60,51.666667,55.102041,53.846154
2013,72,93.333333,95.918367,69.230769
2013,28,0,0,0
2013,52,81.666667,89.795918,61.538462
2013,64,36.666667,36.734694,46.153846
2013,60,25,22.44898,30.769231
2013,52,0,0,0
2013,36,51.666667,57.142857,38.461538
2013,44,0,0,0
2013,64,85,93.877551,69.230769
2013,44,10,6.122449,30.769231
2013,72,43.333333,44.897959,46.153846
2013,64,56.666667,57.142857,46.153846
2013,80,96.666667,100,69.230769
2013,84,98.333333,100,92.307692
2013,20,15,12.244898,23.076923
2013,48,18.333333,14.285714,30.769231
2013,16,5,0,15.384615
2013,100,98.333333,100,100
2013,72,96.666667,100,69.230769
2013,60,75,83.673469,46.153846
2013,44,80,89.795918,61.538462
2013,56,70,75.510204,61.538462
2013,60,6.666667,0,69.230769
2013,52,51.666667,55.102041,46.153846
2013,64,96.666667,100,69.230769
2013,84,83.333333,85.714286,61.538462
2013,32,20,16.326531,46.153846
2013,60,0,0,0
2013,72,45,46.938776,53.846154
2013,36,8.333333,4.081633,15.384615
2013,52,0,0,0
2013,40,75,81.632653,46.153846
2013,48,6.666667,0,0
2013,36,41.666667,42.857143,38.461538
2013,40,0,0,0
2013,32,66.666667,71.428571,38.461538
2013,44,81.666667,89.795918,61.538462
2013,68,98.333333,100,53.846154
2013,80,93.333333,95.918367,53.846154
2013,72,81.666667,89.795918,61.538462
2013,76,51.666667,55.102041,92.307692
2013,48,0,0,0
2013,48,6.666667,0,69.230769
2013,96,33.333333,34.693878,46.153846
2013,60,81.666667,89.795918,53.846154
2013,48,25,22.44898,38.461538
2013,72,38.333333,38.77551,53.846154
2013,52,0,0,0
2013,56,0,0,0
2013,48,75,83.673469,53.846154
2013,52,63.333333,69.387755,38.461538
2013,32,16.666667,12.244898,23.076923
2013,24,6.666667,0,23.076923
2013,48,56.666667,63.265306,46.153846
2013,84,5,0,46.153846
2013,48,5,0,53.846154
2013,44,30,28.571429,38.461538
2013,84,86.666667,95.918367,53.846154
2013,96,98.333333,100,84.615385
2013,64,35,34.693878,53.846154
2013,80,50,53.061224,46.153846
2013,68,81.666667,89.795918,53.846154
2013,36,86.666667,95.918367,53.846154
2013,60,75,81.632653,61.538462
2013,60,96.666667,100,61.538462
2013,48,55,59.183673,46.153846
2013,32,21.666667,14.285714,38.461538
2013,56,65,71.428571,76.923077
2013,40,70,75.510204,46.153846
2013,76,41.666667,42.857143,53.846154
